time,averageWindDirection,averageWindSpeed,averageAirTemp,averageRelativeHumidity,averageAirPressure
"2020-01-11 23:00:00",269,1.265,3.095,77.208333333333,1003.545
"2020-01-12 00:00:00",247,0.98166666666667,2.9733333333333,76.656666666667,1003.2333333333
"2020-01-12 01:00:00",209,0.8,2.91,76.896666666667,1002.7533333333
"2020-01-12 02:00:00",227,0.81333333333333,2.9133333333333,75.745,1002.27
"2020-01-12 03:00:00",228,1.2466666666667,2.9633333333333,71.835,1001.9033333333
"2020-01-12 04:00:00",246,1.265,2.9283333333333,68.173333333333,1001.6433333333
"2020-01-12 05:00:00",243,1.1566666666667,2.485,68.766666666667,1001.0616666667
"2020-01-12 06:00:00",212,0.995,1.39,71.785,1000.4933333333
"2020-01-12 07:00:00",223,1.2316666666667,1.36,71.498333333333,1000.0066666667
"2020-01-12 08:00:00",256,0.97666666666667,2.4083333333333,68.508333333333,999.88333333333
"2020-01-12 09:00:00",246,1.9766666666667,3.43,64.293333333333,999.55666666667
"2020-01-12 10:00:00",263,3.0266666666667,4.1333333333333,61.011666666667,998.86833333333
"2020-01-12 11:00:00",272,2.3033333333333,4.9133333333333,59.758333333333,998.105
"2020-01-12 12:00:00",276,2.2733333333333,5.535,59.093333333333,997.43166666667
"2020-01-12 13:00:00",248,3.3866666666667,5.89,57.361666666667,996.96833333333
"2020-01-12 14:00:00",243,2.625,5.92,57.666666666667,996.455
"2020-01-12 15:00:00",265,1.9,5.0666666666667,61.655,996.37
"2020-01-12 16:00:00",248,2.2083333333333,4.6083333333333,61.201666666667,996.41666666667
"2020-01-12 17:00:00",256,2.7666666666667,4.6783333333333,54.328333333333,996.06333333333
"2020-01-12 18:00:00",243,1.6266666666667,4.1066666666667,55.076666666667,995.81
"2020-01-12 19:00:00",241,1.275,3.6316666666667,56.291666666667,995.29833333333
"2020-01-12 20:00:00",267,1.6083333333333,4.1533333333333,54.836666666667,995.02666666667
"2020-01-12 21:00:00",257,2.1366666666667,4.5933333333333,54.895,995.18166666667
"2020-01-12 22:00:00",267,1.675,3.8616666666667,57.74,995.215
"2020-01-12 23:00:00",260,1.3616666666667,2.9783333333333,61.54,995.49
"2020-01-13 00:00:00",260,1.845,2.6816666666667,62.338333333333,996.06166666667
"2020-01-13 01:00:00",269,2.1833333333333,2.8633333333333,61.393333333333,996.55166666667
"2020-01-13 02:00:00",211,0.865,1.94,64.423333333333,996.67333333333
"2020-01-13 03:00:00",253,2.1566666666667,2.8016666666667,62.418333333333,996.845
"2020-01-13 04:00:00",237,1.885,3.045,61.948333333333,996.94333333333
"2020-01-13 05:00:00",220,1.1283333333333,3.045,62.471666666667,997.005
"2020-01-13 06:00:00",215,1.0366666666667,3.0966666666667,62.868333333333,997.13833333333
"2020-01-13 07:00:00",241,1.9166666666667,3.5966666666667,61.381666666667,997.21666666667
"2020-01-13 08:00:00",237,1.5166666666667,4.1283333333333,60.688333333333,997.41166666667
"2020-01-13 09:00:00",238,2.4283333333333,4.81,59.241666666667,997.485
"2020-01-13 10:00:00",255,2.5716666666667,5.1766666666667,58.845,997.05333333333
"2020-01-13 11:00:00",275,2.2983333333333,5.48,58.701666666667,996.44833333333
"2020-01-13 12:00:00",264,2.205,6.0766666666667,57.163333333333,996.045
"2020-01-13 13:00:00",250,2.2,6.2016666666667,56.888333333333,995.74833333333
"2020-01-13 14:00:00",263,1.58,6.0916666666667,57.661666666667,995.45833333333
"2020-01-13 15:00:00",265,0.8,5.6816666666667,59.588333333333,995.44
"2020-01-13 16:00:00",246,0.57833333333333,4.9783333333333,62.588333333333,995.46333333333
"2020-01-13 17:00:00",210,0.46333333333333,4.7683333333333,63.375,995.27333333333
"2020-01-13 18:00:00",222,0.65,4.0066666666667,66.971666666667,995.17166666667
"2020-01-13 19:00:00",218,0.855,3.415,69.47,994.68
"2020-01-13 20:00:00",244,0.47333333333333,2.9783333333333,71.165,994.25166666667
"2020-01-13 21:00:00",282,0.51,2.5183333333333,72.973333333333,994.30333333333
"2020-01-13 22:00:00",259,0.595,2.575,72.728333333333,994.415
"2020-01-13 23:00:00",232,0.61333333333333,2.4366666666667,73.508333333333,994.42666666667
"2020-01-14 00:00:00",255,0.47,2.1383333333333,74.036666666667,994.07666666667
"2020-01-14 01:00:00",267,0.825,0.985,76.826666666667,994.00333333333
"2020-01-14 02:00:00",219,0.53166666666667,0.31666666666667,77.648333333333,994.045
"2020-01-14 03:00:00",267,0.80333333333333,-0.185,77.805,994.13166666667
"2020-01-14 04:00:00",176,0.97666666666667,-1.6933333333333,79.055,994.11
"2020-01-14 05:00:00",160,0.83333333333333,-2.0166666666667,81.118333333333,993.63833333333
"2020-01-14 06:00:00",309,0.62666666666667,-1.62,81.396666666667,993.26333333333
"2020-01-14 07:00:00",312,1.025,-1.725,81.528333333333,993.54833333333
"2020-01-14 08:00:00",265,0.75833333333333,-1.5866666666667,81.726666666667,994.095
"2020-01-14 09:00:00",231,1.0866666666667,-1.46,81.625,994.255
"2020-01-14 10:00:00",249,0.695,-0.6,81.336666666667,993.97
"2020-01-14 11:00:00",250,0.80833333333333,0.21333333333333,80.573333333333,993.385
"2020-01-14 12:00:00",245,0.99333333333333,1.595,77.258333333333,993.23333333333
"2020-01-14 13:00:00",183,1.0816666666667,1.0783333333333,77.971666666667,993.45833333333
"2020-01-14 14:00:00",216,0.72666666666667,1.2916666666667,77.74,993.89166666667
"2020-01-14 15:00:00",187,0.76,0.87166666666667,77.355,993.84
"2020-01-14 16:00:00",291,0.845,-0.11,78.758333333333,993.98166666667
"2020-01-14 17:00:00",243,0.91666666666667,-1.0983333333333,80.486666666667,994.74333333333
"2020-01-14 18:00:00",217,0.76833333333333,-1.6583333333333,81.07,995.17333333333
"2020-01-14 19:00:00",231,0.81,-1.31,79.785,995.21666666667
"2020-01-14 20:00:00",250,0.52333333333333,-0.99833333333333,77.01,994.95
"2020-01-14 21:00:00",249,0.74833333333333,-1.1133333333333,76.378333333333,994.91333333333
"2020-01-14 22:00:00",217,0.46833333333333,-1.2916666666667,76.303333333333,995.10166666667
"2020-01-14 23:00:00",211,0.66333333333333,-1.525,76.44,995.18666666667
"2020-01-15 00:00:00",208,0.55833333333333,-1.3933333333333,75.543333333333,995.27333333333
"2020-01-15 01:00:00",191,0.66333333333333,-1.4166666666667,75.253333333333,995.37333333333
"2020-01-15 02:00:00",216,0.68666666666667,-1.46,75.226666666667,995.43666666667
"2020-01-15 03:00:00",231,0.5,-1.8016666666667,75.525,995.62166666667
"2020-01-15 04:00:00",200,0.96333333333333,-1.9016666666667,75.631666666667,995.71666666667
"2020-01-15 05:00:00",255,0.42166666666667,-1.84,75.126666666667,995.60833333333
"2020-01-15 06:00:00",249,0.45166666666667,-1.7666666666667,74.193333333333,995.79333333333
"2020-01-15 07:00:00",223,0.655,-1.41,73.276666666667,996.16166666667
"2020-01-15 08:00:00",188,0.71333333333333,0.285,69.165,996.3
"2020-01-15 09:00:00",195,1.0483333333333,1.415,66.675,996.21666666667
"2020-01-15 10:00:00",214,0.93333333333333,3.0666666666667,62.626666666667,995.95666666667
"2020-01-15 11:00:00",209,0.96166666666667,4.9816666666667,55.165,995.71
"2020-01-15 12:00:00",222,0.82666666666667,6.1466666666667,52.363333333333,995.56166666667
"2020-01-15 13:00:00",226,1.0033333333333,6.6183333333333,51.255,995.64833333333
"2020-01-15 14:00:00",208,0.74,6.2516666666667,52.538333333333,995.60666666667
"2020-01-15 15:00:00",250,0.47,4.6783333333333,59.248333333333,995.70333333333
"2020-01-15 16:00:00",246,0.71666666666667,3.17,64.268333333333,995.69833333333
"2020-01-15 17:00:00",265,0.53166666666667,1.725,68.6,995.98666666667
"2020-01-15 18:00:00",226,0.45833333333333,0.84666666666667,70.581666666667,996.14
"2020-01-15 19:00:00",279,0.62333333333333,0.14,72.36,996.20833333333
"2020-01-15 20:00:00",226,0.49166666666667,-0.325,74.008333333333,996.32166666667
"2020-01-15 21:00:00",199,0.43,-0.33666666666667,74.305,996.44333333333
"2020-01-15 22:00:00",282,0.605,-1.015,75.091666666667,996.85166666667
"2020-01-15 23:00:00",263,0.51333333333333,-1.365,75.113333333333,997.54666666667
"2020-01-16 00:00:00",178,1.0133333333333,-1.4616666666667,75.695,998.24666666667
"2020-01-16 01:00:00",181,1.1983333333333,-1.0983333333333,75.113333333333,998.46833333333
"2020-01-16 02:00:00",262,1.2883333333333,0.055,73.985,999.01333333333
"2020-01-16 03:00:00",239,1.915,0.48166666666667,73.991666666667,999.64166666667
"2020-01-16 04:00:00",246,2.1116666666667,0.415,73.916666666667,1000.2916666667
"2020-01-16 05:00:00",252,1.54,0.29166666666667,73.923333333333,1000.8983333333
"2020-01-16 06:00:00",217,1.155,-0.086666666666667,74.411666666667,1001.5
"2020-01-16 07:00:00",205,0.78,-0.15,75.315,1002.18
"2020-01-16 08:00:00",205,0.545,0.87666666666667,72.911666666667,1002.7416666667
"2020-01-16 09:00:00",201,0.69166666666667,1.4583333333333,72.301666666667,1003.2966666667
"2020-01-16 10:00:00",239,0.84,1.9833333333333,71.92,1003.4833333333
"2020-01-16 11:00:00",253,0.76,2.68,70.416666666667,1003.4133333333
"2020-01-16 12:00:00",208,0.62166666666667,3.4166666666667,69.155,1003.3633333333
"2020-01-16 13:00:00",200,0.76,3.5266666666667,69.11,1003.3316666667
"2020-01-16 14:00:00",213,0.91,3.5266666666667,68.745,1003.4516666667
"2020-01-16 15:00:00",233,0.515,2.845,70.748333333333,1004.0666666667
"2020-01-16 16:00:00",195,0.465,2.23,72.353333333333,1004.62
"2020-01-16 17:00:00",253,0.37666666666667,2.1283333333333,72.491666666667,1004.9083333333
"2020-01-16 18:00:00",242,0.46833333333333,1.6816666666667,74.243333333333,1005.1516666667
"2020-01-16 19:00:00",233,0.44166666666667,1.1683333333333,75.173333333333,1005.105
"2020-01-16 20:00:00",304,0.535,0.40333333333333,76.345,1004.845
"2020-01-16 21:00:00",309,0.45,-0.06,77.035,1004.8216666667
"2020-01-16 22:00:00",306,0.42166666666667,-0.43166666666667,77.335,1004.73
"2020-01-16 23:00:00",334,0.49666666666667,-0.70166666666667,76.7,1004.68
"2020-01-17 00:00:00",357,0.655,-1.0583333333333,76.625,1004.5816666667
"2020-01-17 01:00:00",8,0.59833333333333,-1.0766666666667,77.108333333333,1004.1816666667
"2020-01-17 02:00:00",38,0.63833333333333,-0.98,77.62,1003.6433333333
"2020-01-17 03:00:00",77,0.97166666666667,-0.815,79.285,1003.1616666667
"2020-01-17 04:00:00",77,1.1816666666667,-1.7933333333333,81.253333333333,1002.725
"2020-01-17 05:00:00",73,1.065,-1.7233333333333,81.711666666667,1002.1166666667
"2020-01-17 06:00:00",74,1.4483333333333,-1.82,81.81,1001.6583333333
"2020-01-17 07:00:00",69,2.2183333333333,-1.7766666666667,81.878333333333,1001.26
"2020-01-17 08:00:00",82,1.75,-1.275,82.013333333333,1001.0083333333
"2020-01-17 09:00:00",96,1.89,-1.3216666666667,81.938333333333,1000.615
"2020-01-17 10:00:00",84,2.2116666666667,-0.33,81.88,999.56833333333
"2020-01-17 11:00:00",80,1.55,0.57666666666667,82.001666666667,998.56166666667
"2020-01-17 12:00:00",80,1.4733333333333,1.2966666666667,81.74,997.63166666667
"2020-01-17 13:00:00",7,0.83666666666667,1.8333333333333,80.793333333333,996.90333333333
"2020-01-17 14:00:00",256,0.74833333333333,1.8216666666667,80.216666666667,996.445
"2020-01-17 15:00:00",252,0.99666666666667,1.22,81.163333333333,996.11833333333
"2020-01-17 16:00:00",207,0.50833333333333,0.94,81.573333333333,995.925
"2020-01-17 17:00:00",229,0.95333333333333,0.34,81.475,995.52333333333
"2020-01-17 18:00:00",276,0.885,0.14833333333333,81.828333333333,995.42166666667
"2020-01-17 19:00:00",259,0.92666666666667,-0.048333333333333,81.965,995.41
"2020-01-17 20:00:00",216,0.61166666666667,-0.15,82.07,995.55166666667
"2020-01-17 21:00:00",187,0.705,-0.36833333333333,81.896666666667,995.40166666667
"2020-01-17 22:00:00",291,1.105,-0.715,81.86,995.27
"2020-01-17 23:00:00",249,0.56166666666667,-0.54333333333333,82.12,995.145
"2020-01-18 00:00:00",310,0.73166666666667,-0.89333333333333,81.646666666667,995.305
"2020-01-18 01:00:00",279,0.63666666666667,-1.195,81.721666666667,995.56333333333
"2020-01-18 02:00:00",243,0.435,-1.47,81.078333333333,995.65666666667
"2020-01-18 03:00:00",185,0.61,-1.7333333333333,79.956666666667,995.645
"2020-01-18 04:00:00",290,0.82666666666667,-1.61,78.975,995.96666666667
"2020-01-18 05:00:00",234,0.87333333333333,-1.51,78.38,996.11
"2020-01-18 06:00:00",214,0.695,-1.4466666666667,77.795,996.35833333333
"2020-01-18 07:00:00",199,0.915,-1.0966666666667,77.731666666667,996.51
"2020-01-18 08:00:00",159,0.70166666666667,0.835,73.726666666667,996.785
"2020-01-18 09:00:00",198,1.255,1.615,74.141666666667,996.95666666667
"2020-01-18 10:00:00",223,1.5283333333333,2.3233333333333,74.456666666667,996.90333333333
"2020-01-18 11:00:00",235,1.4066666666667,2.6283333333333,74.478333333333,996.73
"2020-01-18 12:00:00",225,1.295,2.73,73.736666666667,996.635
"2020-01-18 13:00:00",235,1.2666666666667,2.555,73.291666666667,996.54333333333
"2020-01-18 14:00:00",275,1.3383333333333,2.3283333333333,72.298333333333,996.345
"2020-01-18 15:00:00",243,1.3983333333333,2.2433333333333,72.293333333333,996.455
"2020-01-18 16:00:00",249,1.8783333333333,2.1066666666667,72.133333333333,996.75166666667
"2020-01-18 17:00:00",246,2.2733333333333,1.725,72.603333333333,997.14666666667
"2020-01-18 18:00:00",246,1.8733333333333,1.31,74.853333333333,997.18833333333
"2020-01-18 19:00:00",234,1.8116666666667,1.035,77.741666666667,997.24833333333
"2020-01-18 20:00:00",248,1.585,0.87333333333333,79.35,997.33333333333
"2020-01-18 21:00:00",241,1.5666666666667,0.855,79.516666666667,997.35333333333
"2020-01-18 22:00:00",236,0.90666666666667,0.78333333333333,79.181666666667,997.54166666667
"2020-01-18 23:00:00",242,1.0733333333333,0.9,79.775,997.62
"2020-01-19 00:00:00",241,0.88833333333333,0.97,79.545,997.96
"2020-01-19 01:00:00",213,0.515,1.1666666666667,79.128333333333,998.17833333333
"2020-01-19 02:00:00",215,0.50333333333333,1.23,79.125,998.11833333333
"2020-01-19 03:00:00",224,0.59333333333333,1.2733333333333,79.538333333333,998.46833333333
"2020-01-19 04:00:00",264,0.74166666666667,1.4266666666667,79.598333333333,998.85666666667
"2020-01-19 05:00:00",239,0.82333333333333,1.3533333333333,80.121666666667,999.3
"2020-01-19 06:00:00",238,0.95333333333333,1.38,80.151666666667,999.655
"2020-01-19 07:00:00",225,0.52,1.6633333333333,79.821666666667,1000.405
"2020-01-19 08:00:00",223,0.71,1.8516666666667,80.126666666667,1001.0866666667
"2020-01-19 09:00:00",226,0.87666666666667,2.3083333333333,79.776666666667,1001.75
"2020-01-19 10:00:00",336,1.2366666666667,3.1766666666667,77.9,1002.03
"2020-01-19 11:00:00",7,1.4133333333333,3.7683333333333,74.446666666667,1002.3033333333
"2020-01-19 12:00:00",21,1.4366666666667,3.9166666666667,73.176666666667,1002.605
"2020-01-19 13:00:00",352,1.2916666666667,3.94,73.738333333333,1003.2083333333
"2020-01-19 14:00:00",353,1.0466666666667,4.0583333333333,73.065,1003.9333333333
"2020-01-19 15:00:00",354,1.1033333333333,4.0233333333333,73.378333333333,1004.815
"2020-01-19 16:00:00",15,1.2983333333333,4.0183333333333,72.666666666667,1005.855
"2020-01-19 17:00:00",48,1.2683333333333,3.9133333333333,73.358333333333,1006.6283333333
"2020-01-19 18:00:00",1,1.0216666666667,3.9033333333333,71.573333333333,1007.2983333333
"2020-01-19 19:00:00",3,1.2333333333333,3.8683333333333,70.548333333333,1008.1283333333
"2020-01-19 20:00:00",9,1.76,3.5766666666667,72.276666666667,1008.8266666667
"2020-01-19 21:00:00",17,1.4966666666667,3.31,73.186666666667,1009.4033333333
"2020-01-19 22:00:00",17,1.6033333333333,3.2416666666667,72.431666666667,1010.1583333333
"2020-01-19 23:00:00",6,1.165,3.155,72.955,1010.7616666667
"2020-01-20 00:00:00",353,1.5083333333333,2.94,73.498333333333,1011.4966666667
"2020-01-20 01:00:00",336,1.1816666666667,2.9,73.475,1012.065
"2020-01-20 02:00:00",333,1.095,2.8016666666667,72.965,1012.5783333333
"2020-01-20 03:00:00",1,1.7083333333333,2.5316666666667,72.79,1013.0433333333
"2020-01-20 04:00:00",348,1.85,2.2833333333333,73.025,1013.7133333333
"2020-01-20 05:00:00",4,2.22,1.7716666666667,72.586666666667,1014.45
"2020-01-20 06:00:00",342,1.2016666666667,1.35,73.041666666667,1015.375
"2020-01-20 07:00:00",0,0.53166666666667,1.405,73.176666666667,1016.0983333333
"2020-01-20 08:00:00",278,0.655,1.9133333333333,71.951666666667,1016.7883333333
"2020-01-20 09:00:00",264,0.83,2.2966666666667,70.436666666667,1017.1983333333
"2020-01-20 10:00:00",258,0.98333333333333,2.955,67.728333333333,1017.3233333333
"2020-01-20 11:00:00",253,1.275,3.285,65.108333333333,1017.5116666667
"2020-01-20 12:00:00",271,1.73,3.5833333333333,59.471666666667,1017.3183333333
"2020-01-20 13:00:00",284,2.0716666666667,3.6416666666667,56.211666666667,1017.405
"2020-01-20 14:00:00",269,1.8483333333333,3.3533333333333,60.308333333333,1017.3033333333
"2020-01-20 15:00:00",262,1.45,3.1433333333333,62.79,1017.265
"2020-01-20 16:00:00",263,1.7033333333333,2.9933333333333,61.275,1017.5283333333
"2020-01-20 17:00:00",263,2.0483333333333,2.8966666666667,60.351666666667,1017.685
"2020-01-20 18:00:00",244,2.8016666666667,2.7583333333333,60.676666666667,1017.5183333333
"2020-01-20 19:00:00",251,2.0483333333333,2.6283333333333,61.46,1017.62
"2020-01-20 20:00:00",255,2.48,2.445,62.203333333333,1017.6016666667
"2020-01-20 21:00:00",270,2.3466666666667,2.2333333333333,62.551666666667,1017.4283333333
"2020-01-20 22:00:00",278,2.5266666666667,1.965,62.971666666667,1017.4533333333
"2020-01-20 23:00:00",274,2.2383333333333,1.82,62.993333333333,1017.33
"2020-01-21 00:00:00",274,2.295,1.715,63.685,1016.9316666667
"2020-01-21 01:00:00",259,2.3683333333333,1.4516666666667,63.128333333333,1016.275
"2020-01-21 02:00:00",247,3.0583333333333,1.4216666666667,63.045,1015.4516666667
"2020-01-21 03:00:00",245,3.2883333333333,1.1516666666667,63.483333333333,1014.8066666667
"2020-01-21 04:00:00",250,2.89,0.99166666666667,64.291666666667,1014.615
"2020-01-21 05:00:00",246,2.6033333333333,0.59833333333333,66.441666666667,1014.3033333333
"2020-01-21 06:00:00",244,2.9383333333333,0.056666666666667,68.818333333333,1013.8366666667
"2020-01-21 07:00:00",247,2.865,0.093333333333333,68.071666666667,1013.7333333333
"2020-01-21 08:00:00",253,3.095,0.83333333333333,65.42,1013.5916666667
"2020-01-21 09:00:00",245,3.87,1.6116666666667,63.163333333333,1013.2733333333
"2020-01-21 10:00:00",248,4.08,2.6883333333333,58.703333333333,1012.7416666667
"2020-01-21 11:00:00",252,3.9,3.665,54.946666666667,1012.0783333333
"2020-01-21 12:00:00",248,3.94,4.195,53.463333333333,1011.2133333333
"2020-01-21 13:00:00",244,4.2533333333333,4.4283333333333,52.361666666667,1010.76
"2020-01-21 14:00:00",243,3.6216666666667,4.155,52.845,1010.1866666667
"2020-01-21 15:00:00",247,2.5983333333333,3.3916666666667,56.805,1009.6683333333
"2020-01-21 16:00:00",246,2.8166666666667,2.8166666666667,59.19,1009.1216666667
"2020-01-21 17:00:00",245,1.9783333333333,1.8633333333333,62.773333333333,1008.6783333333
"2020-01-21 18:00:00",257,2.1466666666667,1.5383333333333,64.06,1008.6833333333
